user_id,name,designation,course_id,course_title,course_tag,course_duration,modules_completed,total_modules,completion_percentage,course_score,performance_score
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,2191c368-9102-4d66-a668-5ccf7d317509,Reverse-engineered needs-based flexibility,Cybersecurity,118,1.0,2,50.0,38,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,30197a42-f77e-49c2-8946-4bbd36fbf79d,Multi-channeled stable help-desk,Generative AI,151,3.0,8,37.5,86,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,38782344-4b97-4ab7-a03f-dd9c9e236ffb,Devolved hybrid structure,Generative AI,150,3.0,4,75.0,84,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,3f04b295-f148-4f74-b86f-daa8506c9048,Polarized needs-based success,Web Development,104,2.0,3,66.66666666666666,69,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,3f4c255a-3ed2-4c07-8b82-3fb30c863226,Ergonomic intangible adapter,Data Science,172,4.0,6,66.66666666666666,22,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,445a1b9a-826f-4f65-90f1-7771578fac5f,User-friendly motivating projection,UI/UX Design,147,1.0,2,50.0,57,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,55ea5fd6-c51a-4923-b390-b1957a50f298,Public-key methodical neural-net,UI/UX Design,116,4.0,8,50.0,28,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,5b3b1bdd-a35d-435d-8473-0d92dd911d32,Synergistic bottom-line leverage,UI/UX Design,101,8.0,10,80.0,28,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,699a90ef-bd36-4eb4-8286-15d8ff970eda,Networked asynchronous archive,DevOps,100,4.0,4,100.0,69,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,6a52ebe0-0cd7-41a8-b825-3704194741a0,Synchronized system-worthy migration,Web Development,139,4.0,6,66.66666666666666,33,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,6e14ec87-40fe-4809-b762-daa4db93dd3f,Reverse-engineered next generation data-warehouse,UI/UX Design,69,3.0,6,50.0,29,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,a3ddc761-3c41-4f7f-a56e-e575d1bc25ad,Upgradable dedicated flexibility,Generative AI,131,1.0,1,100.0,34,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,a486147a-14bc-495f-b315-8b115d689ce1,Grass-roots tangible frame,DevOps,78,0.0,2,0.0,99,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,b126a3f1-2b94-4de0-8e8f-596f478c7de3,Cross-group national framework,Mobile Development,120,4.0,7,57.14285714285714,38,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,db152902-82d6-4ba2-aa87-f7aa9faf0d69,Multi-tiered mission-critical implementation,Data Science,86,3.0,7,42.857142857142854,74,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,df04b2a3-7c27-4f33-b4bd-fdf102fd0f01,Synergized modular access,Data Engineering,75,4.0,5,80.0,74,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,ec547ddb-3fec-424b-a343-ddafec1fa0cf,Visionary asymmetric hub,DevOps,95,2.0,7,28.57142857142857,31,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,eee76786-5a72-4d28-9a2e-23266b968959,Digitized high-level throughput,Generative AI,77,2.0,3,66.66666666666666,28,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,fc64aa01-38bb-4ccf-b446-869c1fd3fcf1,Adaptive context-sensitive Local Area Network,Mobile Development,75,2.0,5,40.0,37,49.29
01f9f4d3-e268-4417-ae0b-d70326a3fb17,Lucas Jackson,UI/UX Designer,fdfb691a-6314-4d16-85d7-a19611600b8a,Ameliorated responsive Local Area Network,DevOps,69,3.0,4,75.0,88,49.29
028d0ea0-c7cb-40f0-a0da-f2a53888dd37,Charles Sanders,Web Developer,2191c368-9102-4d66-a668-5ccf7d317509,Reverse-engineered needs-based flexibility,Cybersecurity,118,3.0,7,42.857142857142854,66,60.17821782178218
028d0ea0-c7cb-40f0-a0da-f2a53888dd37,Charles Sanders,Web Developer,30197a42-f77e-49c2-8946-4bbd36fbf79d,Multi-channeled stable help-desk,Generative AI,151,1.0,4,25.0,55,60.17821782178218
028d0ea0-c7cb-40f0-a0da-f2a53888dd37,Charles Sanders,Web Developer,38782344-4b97-4ab7-a03f-dd9c9e236ffb,Devolved hybrid structure,Generative AI,150,2.0,7,28.57142857142857,77,60.17821782178218
028d0ea0-c7cb-40f0-a0da-f2a53888dd37,Charles Sanders,Web Developer,3f04b295-f148-4f74-b86f-daa8506c9048,Polarized needs-based success,Web Development,104,2.0,5,40.0,82,60.17821782178218
028d0ea0-c7cb-40f0-a0da-f2a53888dd37,Charles Sanders,Web Developer,3f4c255a-3ed2-4c07-8b82-3fb30c863226,Ergonomic intangible adapter,Data Science,172,6.0,8,75.0,24,60.17821782178218
028d0ea0-c7cb-40f0-a0da-f2a53888dd37,Charles Sanders,Web Developer,445a1b9a-826f-4f65-90f1-7771578fac5f,User-friendly motivating projection,UI/UX Design,147,2.0,5,40.0,46,60.17821782178218
