user_id,name,designation
2a6d8fa1-17f3-4bbe-8662-94ac32e3e36a,Tara Salinas,Mobile Developer
77616122-6463-4f54-97bf-e41d45e28e0b,Dale Hicks,Cybersecurity Specialist
eb13e8d5-4c0e-4160-be53-dd87d0b15033,Maria Lara,Data Scientist
641e72d5-859e-4887-a57d-84201be9c066,Matthew Howe,Web Developer
d8b75720-cc4c-4a26-aab5-09b7e69559a4,Madeline Ramos,Data Engineer
82dde003-268e-4a7e-92f5-6aa9fc78cb11,Jeff Russo,UI/UX Designer
6483031e-7f1d-402e-a13d-56622e6157ee,Teresa Lee,AI Specialist
516c7f77-8812-446d-a146-a9be94fdc2a4,Megan Russo,DevOps Engineer
2b107019-27fc-4a03-b07d-0718515aa6a0,Andrew Wells,Software Tester
c25ba4d5-d3bf-4e95-86d3-0d15988e152e,Carlos Morse,Data Engineer
b872732e-eae1-48c3-bce8-719ba3f8dffa,John Hess,Web Developer
8eaf1874-9365-4c36-81d7-fe383e8720fc,Monica Schneider,DevOps Engineer
ea7a3269-5544-43ed-ad9f-f797a80c2832,Melinda Johnson,AI Specialist
f05dafe7-4a77-496b-9686-1fa41ed50c3e,Michael Jones,Data Engineer
7b6cac55-e272-496a-bb17-0136c460474e,Michael Daniels,Web Developer
5bd2cf06-0f57-4b5e-a282-eb1a5cc629c7,Matthew Douglas,DevOps Engineer
a5e41e2d-cb2d-4120-8c1c-cf4929192b8e,Gabriel Kaiser,Data Engineer
07f6381b-edfe-4f3e-b485-0fc0d9fb6e97,Ryan Humphrey,AI Specialist
726e18d4-db77-4567-90f8-b8c198560dd6,Gerald Pollard,Mobile Developer
e5bba2f2-598f-443e-bbe7-befbd9ea27b0,Miss Melissa Ramirez,Mobile Developer
b87eb784-2da1-4510-a007-479a8f0ec67f,Nicholas Beck,Mobile Developer
c35b2be0-dc6c-414b-91fd-eb0877e575ab,Amy Lloyd,Data Engineer
32a5237e-7492-4cc7-94d7-beaeba5abffa,Nicholas Mcconnell,Data Scientist
96e2dc7f-c3f8-4f5c-815b-ecb0514fbd64,Patrick Vazquez,DevOps Engineer
840e899b-0980-4fbf-97a6-425c078e7da6,Ruben Casey,DevOps Engineer
1882a27f-47dd-445c-a860-9860c38ee52d,Angela Freeman DDS,Data Scientist
304dcd27-7544-4ae5-9de3-1475fe9c40e3,James Hernandez,Data Engineer
55b93218-2057-4889-aa47-f166877ed811,Tyler Wilson,UI/UX Designer
409c9940-793f-41f9-81f4-db4dd28d4fb3,Joanna Williams,AI Specialist
